name,size,type,alignment,ac,hp,move,str,dex,con,int,wis,cha,challenge,saves,total_save_bonus,skills,senses,languages,damage_vulnerabilities,damage_resistances,damage_immunities,condition_immunities,DPR,attack_bonus,
Homunculus Servant,Tiny,construct,neutral,13,1,"20 ft., fly 40 ft.",4,15,12,10,10,7,0,DEX +4,4,"Perception +4, Stealth +4","Darkvision 60 ft.,  Passive Perception 14",understands the languages you speak,,,Poison,"Exhaustion, Poisoned",,,
Horned Devil,Large,fiend,lawful evil,18,178,"20 ft., fly 60 ft.",22,17,21,12,16,17,11,"STR +10, DEX +7, WIS +7, CHA +7",22,,"Darkvision 120 ft.,  Passive Perception 13","Infernal, Telepathy 120 ft.",,"Cold; Bludgeoning, Piercing, and Slashing from Nonmagical Attacks that aren't Silvered","Fire, Poison",Poisoned,,,
Hunter Shark,Large,beast,unaligned,12,45,"0 ft., swim 40 ft.",18,13,15,1,10,4,2,,0,Perception +2,"Blindsight 30 ft.,  Passive Perception 12",--,,,,,,,
Hydra,Huge,monstrosity,unaligned,15,172,"30 ft., swim 30 ft.",20,12,20,2,10,7,8,,0,Perception +6,"Darkvision 60 ft.,  Passive Perception 16",--,,,,,,,
Hyena,Medium,beast,unaligned,11,5,50 ft.,11,13,12,2,12,5,0,,0,Perception +3,Passive Perception 13,--,,,,,,,
Ice Devil,Large,fiend,lawful evil,18,180,40 ft.,21,14,18,18,15,18,14,"DEX +7, CON +9, WIS +7, CHA +9",32,,"Blindsight 60 ft., Darkvision 120 ft.,  Passive Perception 12","Infernal, Telepathy 120 ft.",,"Bludgeoning, Piercing, and Slashing from Nonmagical Attacks that aren't Silvered","Cold, Fire, Poison",Poisoned,,,
Ice Mephit,Small,elemental,neutral evil,11,21,"30 ft., fly 30 ft.",7,13,10,9,11,12,0.5,,0,"Perception +2, Stealth +3","Darkvision 60 ft.,  Passive Perception 12","Aquan, Auran","Bludgeoning, Fire",,"Cold, Poison",Poisoned,,,
Imp,Tiny,fiend,lawful evil,13,10,"20 ft., fly 40 ft.",6,17,13,11,12,14,1,,0,"Deception +4, Insight +3, Persuasion +4, Stealth +5","Darkvision 120 ft.,  Passive Perception 11","Common, Infernal",,"Cold; Bludgeoning, Piercing, and Slashing from Nonmagical Attacks that aren't Silvered","Fire, Poison",Poisoned,,,
Improved Steel Defender,Medium,construct,neutral,17,15,40 ft.,14,12,14,4,10,6,0,"DEX +3, CON +4",7,"Athletics +4, Perception +4","Darkvision 60 ft.,  Passive Perception 14",understands the languages you speak,,,Poison,"Charmed, Exhaustion, Poisoned",,,
Incubus,Medium,fiend,neutral evil,15,66,"30 ft., fly 60 ft.",8,17,13,15,12,20,4,,0,"Deception +9, Insight +5, Perception +5, Persuasion +9, Stealth +7","Darkvision 60 ft.,  Passive Perception 15","Abyssal, Common, Infernal, Telepathy 60 ft.",,"Cold, Fire, Lightning, Poison; Bludgeoning, Piercing, and Slashing from Nonmagical Attacks",,,,,
Invisible Stalker,Medium,elemental,neutral,14,104,"50 ft., fly 50 ft. (hover)",16,19,14,10,15,11,6,,0,"Perception +8, Stealth +10","Darkvision 60 ft.,  Passive Perception 18",Auran  Understands Common but doesn't speak it,,"Bludgeoning, Piercing, and Slashing from Nonmagical Attacks",Poison,"Exhaustion, Grappled, Paralyzed, Petrified, Poisoned, Prone, Restrained, Unconscious",,,
Iron Golem,Large,construct,unaligned,20,210,30 ft.,24,9,20,3,11,1,16,,0,,"Darkvision 120 ft.,  Passive Perception 10",Understands the languages of its creator but can't speak,,,"Fire, Poison, Psychic; Bludgeoning, Piercing, and Slashing from Nonmagical Attacks that aren't Adamantine","Charmed, Exhaustion, Frightened, Paralyzed, Petrified, Poisoned",,,
Jackal,Small,beast,unaligned,12,3,40 ft.,8,15,11,3,12,6,0,,0,Perception +3,Passive Perception 13,--,,,,,,,
Killer Whale,Huge,beast,unaligned,12,90,"0 ft., swim 60 ft.",19,10,13,3,12,7,3,,0,Perception +3,"Blindsight 120 ft.,  Passive Perception 13",--,,,,,,,
Knight,Medium,humanoid,any alignment,18,52,30 ft.,16,11,14,11,11,15,3,"CON +4, WIS +2",6,,Passive Perception 10,Any one language (usually Common),,,,,,,
Kobold,Small,humanoid,lawful evil,12,5,30 ft.,7,15,9,8,7,8,0.125,,0,,"Darkvision 60 ft.,  Passive Perception 8","Common, Draconic",,,,,,,
Kraken,Gargantuan,monstrosity,chaotic evil,18,472,"20 ft., swim 60 ft.",30,11,25,22,18,20,23,"STR +17, DEX +7, CON +14, INT +13, WIS +11",26,,"Truesight 120 ft.,  Passive Perception 14","Abyssal, Celestial, Infernal, Primordial, Telepathy 120 ft. but can't speak",,,"Lightning; Bludgeoning, Piercing, and Slashing from Nonmagical Attacks","Frightened, Paralyzed",,,
Lamia,Large,monstrosity,chaotic evil,13,97,30 ft.,16,13,15,14,15,16,4,,0,"Deception +7, Insight +4, Stealth +3","Darkvision 60 ft.,  Passive Perception 12","Abyssal, Common",,,,,,,
Lemure,Medium,fiend,lawful evil,7,13,15 ft.,10,5,11,1,11,3,0,,0,,"Darkvision 120 ft.,  Passive Perception 10",Understands Infernal but can't speak it,,Cold,"Fire, Poison","Charmed, Frightened, Poisoned",,,
Lich,Medium,undead,any evil alignment,17,135,30 ft.,11,16,16,20,14,16,21,"CON +10, INT +12, WIS +9",13,"Arcana +19, History +12, Insight +9, Perception +9","Truesight 120 ft.,  Passive Perception 19",Common plus up to five other languages,,"Cold, Lightning, Necrotic","Poison; Bludgeoning, Piercing, and Slashing from Nonmagical Attacks","Charmed, Exhaustion, Frightened, Paralyzed, Poisoned",,,
Lion,Large,beast,unaligned,12,26,50 ft.,17,15,13,3,12,8,1,,0,"Perception +3, Stealth +6",Passive Perception 13,--,,,,,,,
Lizard,Tiny,beast,unaligned,10,2,"20 ft., climb 20 ft.",2,11,10,1,8,3,0,,0,,"Darkvision 30 ft.,  Passive Perception 9",--,,,,,,,
Lizardfolk,Medium,humanoid,neutral,15,22,"30 ft., swim 30 ft.",15,10,13,7,12,7,0.5,,0,"Perception +3, Stealth +2, Survival +5",Passive Perception 13,Draconic,,,,,,,
Mage,Medium,humanoid,any alignment,12,40,30 ft.,9,14,11,17,12,11,6,"INT +6, WIS +4",10,"Arcana +6, History +6",Passive Perception 11,Any four languages,,,,,,,
Magma Mephit,Small,elemental,neutral evil,11,22,"30 ft., fly 30 ft.",8,12,12,7,10,10,0.5,,0,Stealth +3,"Darkvision 60 ft.,  Passive Perception 10","Ignan, Terran",Cold,,"Fire, Poison",Poisoned,,,
Magmin,Small,elemental,chaotic neutral,14,9,30 ft.,7,15,12,8,11,10,0.5,,0,,"Darkvision 60 ft.,  Passive Perception 10",Ignan,,"Bludgeoning, Piercing, and Slashing from Nonmagical Attacks",Fire,,,,
Mammoth,Huge,beast,unaligned,13,126,40 ft.,24,9,21,3,11,6,6,,0,,Passive Perception 10,--,,,,,,,
Manticore,Large,monstrosity,lawful evil,14,68,"30 ft., fly 50 ft.",17,16,17,7,12,8,3,,0,,"Darkvision 60 ft.,  Passive Perception 11",Common,,,,,,,
Marilith,Large,fiend,chaotic evil,18,189,40 ft.,18,20,20,18,16,20,16,"STR +9, CON +10, WIS +8, CHA +10",19,,"Truesight 120 ft.,  Passive Perception 13","Abyssal, Telepathy 120 ft.",,"Cold, Fire, Lightning; Bludgeoning, Piercing, and Slashing from Nonmagical Attacks",Poison,Poisoned,,,
Mastiff,Medium,beast,unaligned,12,5,40 ft.,13,14,12,3,12,7,0.125,,0,Perception +3,Passive Perception 13,--,,,,,,,
Medusa,Medium,monstrosity,lawful evil,15,127,30 ft.,10,15,16,12,13,15,6,,0,"Deception +5, Insight +4, Perception +4, Stealth +5","Darkvision 60 ft.,  Passive Perception 14",Common,,,,,,,
Merfolk,Medium,humanoid,neutral,11,11,"10 ft., swim 40 ft.",10,13,12,11,11,12,0.125,,0,Perception +2,Passive Perception 12,"Aquan, Common",,,,,,,
Merrow,Large,monstrosity,chaotic evil,13,45,"10 ft., swim 40 ft.",18,10,15,8,10,9,2,,0,,"Darkvision 60 ft.,  Passive Perception 10","Abyssal, Aquan",,,,,,,
Mimic,Medium,monstrosity,neutral,12,58,15 ft.,17,12,15,5,13,8,2,,0,Stealth +5,"Darkvision 60 ft.,  Passive Perception 11",--,,,Acid,Prone,,,
Minotaur,Large,monstrosity,chaotic evil,14,76,40 ft.,18,11,16,6,16,9,3,,0,Perception +7,"Darkvision 60 ft.,  Passive Perception 17",Abyssal,,,,,,,
Minotaur Skeleton,Large,undead,lawful evil,12,67,40 ft.,18,11,15,6,8,5,2,,0,,"Darkvision 60 ft.,  Passive Perception 9",Understands Abyssal but can't speak  it,Bludgeoning,,Poison,"Exhaustion, Poisoned",,,
Mule,Medium,beast,unaligned,10,11,40 ft.,14,10,13,2,10,5,0.125,,0,,Passive Perception 10,--,,,,,,,
Mummy,Medium,undead,lawful evil,11,58,20 ft.,16,8,15,6,10,12,3,WIS +2,2,,"Darkvision 60 ft.,  Passive Perception 10",The languages it knew in life,Fire,"Bludgeoning, Piercing, and Slashing from Nonmagical Attacks","Necrotic, Poison","Charmed, Exhaustion, Frightened, Paralyzed, Poisoned",,,
Mummy Lord,Medium,undead,lawful evil,17,97,20 ft.,18,10,17,11,18,16,15,"CON +8, INT +5, WIS +9, CHA +8",30,"History +5, Religion +5","Darkvision 60 ft.,  Passive Perception 14",The languages it knew in life,Fire,,"Necrotic, Poison; Bludgeoning, Piercing, and Slashing from Nonmagical Attacks","Charmed, Exhaustion, Frightened, Paralyzed, Poisoned",,,
Nalfeshnee,Large,fiend,chaotic evil,18,184,"20 ft., fly 30 ft.",21,10,22,19,12,15,13,"CON +11, INT +9, WIS +6, CHA +7",24,,"Truesight 120 ft.,  Passive Perception 11","Abyssal, Telepathy 120 ft.",,"Cold, Fire, Lightning; Bludgeoning, Piercing, and Slashing from Nonmagical Attacks",Poison,Poisoned,,,
Night Hag,Medium,fiend,neutral evil,17,112,30 ft.,18,15,16,16,14,16,5,,0,"Deception +7, Insight +6, Perception +6, Stealth +6","Darkvision 120 ft.,  Passive Perception 16","Abyssal, Common, Infernal, Primordial",,"Cold, Fire; Bludgeoning, Piercing, and Slashing from Nonmagical Attacks that aren't Silvered",,Charmed,,,
Nightmare,Large,fiend,neutral evil,13,68,"60 ft., fly 90 ft.",18,15,16,10,13,15,3,,0,,Passive Perception 11,Common  and Infernal but can't speak,,,Fire,,,,
Noble,Medium,humanoid,any alignment,15,9,30 ft.,11,12,11,12,14,16,0.125,,0,"Deception +5, Insight +4, Persuasion +5",Passive Perception 12,Any two languages,,,,,,,
Nothic,Medium,aberration,neutral evil,15,45,30 ft.,14,16,16,13,10,8,2,,0,"Arcana +3, Insight +4, Perception +2, Stealth +5","Truesight 120 ft.,  Passive Perception 12",Undercommon,,,,,,,
Ochre Jelly,Large,ooze,unaligned,8,45,"10 ft., climb 10 ft.",15,6,14,2,6,1,2,,0,,"Blindsight 60 ft. (blind beyond this radius),  Passive Perception 8",--,,Acid,"Lightning, Slashing","Blinded, Charmed, Deafened, Exhaustion, Frightened, Prone",,,
Octopus,Small,beast,unaligned,12,3,"5 ft., swim 30 ft.",4,15,11,3,10,4,0,,0,"Perception +2, Stealth +4","Darkvision 30 ft.,  Passive Perception 12",--,,,,,,,
Ogre,Large,giant,chaotic evil,11,59,40 ft.,19,8,16,5,7,7,2,,0,,"Darkvision 60 ft.,  Passive Perception 8","Common, Giant",,,,,,,
Ogre Zombie,Large,undead,neutral evil,8,85,30 ft.,19,6,18,3,6,5,2,WIS +0,0,,"Darkvision 60 ft.,  Passive Perception 8",Understands Common and Giant but can't speak  them,,,Poison,Poisoned,,,
Oni,Large,giant,lawful evil,16,110,"30 ft., fly 30 ft.",19,11,16,14,12,15,7,"DEX +3, CON +6, WIS +4, CHA +5",18,"Arcana +5, Deception +8, Perception +4","Darkvision 60 ft.,  Passive Perception 14","Common, Giant",,,,,,,
Orc,Medium,humanoid,chaotic evil,13,15,30 ft.,16,12,16,7,11,10,0.5,,0,Intimidation +2,"Darkvision 60 ft.,  Passive Perception 10","Common, Orc",,,,,,,
Otyugh,Large,aberration,neutral,14,114,30 ft.,16,11,19,6,13,6,5,CON +7,7,,"Darkvision 120 ft.,  Passive Perception 11",Otyugh,,,,,,,
Owl,Tiny,beast,unaligned,11,1,"5 ft., fly 60 ft.",3,13,8,2,12,7,0,,0,"Perception +3, Stealth +3","Darkvision 120 ft.,  Passive Perception 13",--,,,,,,,
Owlbear,Large,monstrosity,unaligned,13,59,40 ft.,20,12,17,3,12,7,3,,0,Perception +3,"Darkvision 60 ft.,  Passive Perception 13",--,,,,,,,
Panther,Medium,beast,unaligned,12,13,"50 ft., climb 40 ft.",14,15,10,3,14,7,0.25,,0,"Perception +4, Stealth +6",Passive Perception 14,--,,,,,,,
Pegasus,Large,celestial,chaotic good,12,59,"60 ft., fly 90 ft.",18,15,16,10,15,13,2,"DEX +4, WIS +4, CHA +3",11,Perception +6,Passive Perception 16,"Celestial, Common, Elvish  and Sylvan but can't speak",,,,,,,
Phase Spider,Large,monstrosity,unaligned,13,32,"30 ft., climb 30 ft.",15,15,12,6,10,6,3,,0,Stealth +6,"Darkvision 60 ft.,  Passive Perception 10",--,,,,,,,
Pit Fiend,Large,fiend,lawful evil,19,300,"30 ft., fly 60 ft.",26,14,24,22,18,24,20,"DEX +8, CON +13, WIS +10",13,,"Truesight 120 ft.,  Passive Perception 14","Infernal, Telepathy 120 ft.",,"Cold; Bludgeoning, Piercing, and Slashing from Nonmagical Attacks that aren't Silvered","Fire, Poison",Poisoned,,,
Planetar,Large,celestial,lawful good,19,200,"40 ft., fly 120 ft.",24,20,24,19,22,25,16,"CON +12, WIS +11, CHA +12",8,Perception +11,"Truesight 120 ft.,  Passive Perception 21","All, Telepathy 120 ft.",,"Radiant; Bludgeoning, Piercing, and Slashing from Nonmagical Attacks",,"Charmed, Exhaustion, Frightened",,,
Plesiosaurus,Large,beast,unaligned,13,68,"20 ft., swim 40 ft.",18,15,16,2,12,5,2,,0,"Perception +3, Stealth +4",Passive Perception 13,--,,,,,,,
Poisonous Snake,Tiny,beast,unaligned,13,2,"30 ft., swim 30 ft.",2,16,11,1,10,3,0.125,,0,,"Blindsight 10 ft.,  Passive Perception 10",--,,,,,,,
Polar Bear,Large,beast,unaligned,12,42,"40 ft., swim 30 ft.",20,10,16,2,13,7,2,,0,Perception +3,Passive Perception 13,--,,,,,,,
Pony,Medium,beast,unaligned,10,11,40 ft.,15,10,13,2,11,7,0.125,,0,,Passive Perception 10,--,,,,,,,
Priest,Medium,humanoid,any alignment,13,27,30 ft.,10,10,12,13,16,13,2,,0,"Medicine +7, Persuasion +3, Religion +5",Passive Perception 13,Any two languages,,,,,,,
Pseudodragon,Tiny,dragon,neutral good,13,7,"15 ft., fly 60 ft.",6,15,13,10,12,10,0.25,,0,"Perception +3, Stealth +4","Blindsight 10 ft., Darkvision 60 ft.,  Passive Perception 13",Understands Common and Draconic but can't speak them,,,,,,,
Pteranodon,Medium,beast,unaligned,13,13,"10 ft., fly 60 ft.",12,15,10,2,9,5,0.25,,0,Perception +1,Passive Perception 11,--,,,,,,,
Purple Worm,Gargantuan,monstrosity,unaligned,18,247,"50 ft., burrow 30 ft.",28,7,22,1,8,4,15,"CON +11, WIS +4",6,,"Blindsight 30 ft., Tremorsense 60 ft.,  Passive Perception 9",--,,,,,,,
Quasit,Tiny,fiend,shapechanger),13,7,40 ft.,5,17,10,7,10,10,1,,0,Stealth +5,"Darkvision 120 ft.,  Passive Perception 10","Abyssal, Common",,"Cold, Fire, Lightning; Bludgeoning, Piercing, and Slashing from Nonmagical Attacks",Poison,Poisoned,,,
Quipper,Tiny,beast,unaligned,13,1,"0 ft., swim 40 ft.",2,16,9,1,7,2,0,,0,,"Darkvision 60 ft.,  Passive Perception 8",--,,,,,,,
Rakshasa,Medium,fiend,lawful evil,16,110,40 ft.,14,17,18,13,16,20,13,,0,"Deception +10, Insight +8","Darkvision 60 ft.,  Passive Perception 13","Common, Infernal",Piercing from Magic Weapons Wielded by Good Creatures,,"Bludgeoning, Piercing, and Slashing from Nonmagical Attacks",,,,
Rat,Tiny,beast,unaligned,10,1,20 ft.,2,11,9,2,10,4,0,,0,,"Darkvision 30 ft.,  Passive Perception 10",--,,,,,,,
Raven,Tiny,beast,unaligned,12,1,"10 ft., fly 50 ft.",2,14,8,2,12,6,0,,0,Perception +3,Passive Perception 13,--,,,,,,,
Red Dragon Wyrmling,Medium,dragon,chaotic evil,17,75,"30 ft., climb 30 ft., fly 60 ft.",19,10,17,12,11,15,4,"DEX +2, CON +5, WIS +2, CHA +4",13,"Perception +4, Stealth +2","Blindsight 10 ft., Darkvision 60 ft.,  Passive Perception 14",Draconic,,,Fire,,,,
Reef Shark,Medium,beast,unaligned,12,22,"0 ft., swim 40 ft.",14,13,13,1,10,4,0.5,,0,Perception +2,"Blindsight 30 ft.,  Passive Perception 12",--,,,,,,,
Remorhaz,Huge,monstrosity,unaligned,17,195,"30 ft., burrow 20 ft.",24,13,21,4,10,5,11,,0,,"Darkvision 60 ft., Tremorsense 60 ft.,  Passive Perception 10",--,,,"Cold, Fire",,,,
Rhinoceros,Large,beast,unaligned,11,45,40 ft.,21,8,15,2,12,6,2,,0,,Passive Perception 11,--,,,,,,,
Riding Horse,Large,beast,unaligned,10,13,60 ft.,16,10,12,2,11,7,0.25,,0,,Passive Perception 10,--,,,,,,,
Roc,Gargantuan,monstrosity,unaligned,15,248,"20 ft., fly 120 ft.",28,10,20,3,10,9,11,"DEX +4, CON +9, WIS +4, CHA +3",20,Perception +4,Passive Perception 14,--,,,,,,,
Roper,Large,monstrosity,neutral evil,20,93,"10 ft., climb 10 ft.",18,8,17,7,16,6,5,,0,"Perception +6, Stealth +5","Darkvision 60 ft.,  Passive Perception 16",--,,,,,,,
Rug of Smothering,Large,construct,unaligned,12,33,10 ft.,17,14,10,1,3,1,2,,0,,"Blindsight 60 ft. (blind beyond this radius),  Passive Perception 6",--,,,"Poison, Psychic","Blinded, Charmed, Deafened, Frightened, Paralyzed, Petrified, Poisoned",,,
Rust Monster,Medium,monstrosity,unaligned,14,27,40 ft.,13,12,13,2,13,6,0.5,,0,,"Darkvision 60 ft.,  Passive Perception 11",--,,,,,,,
Saber-Toothed Tiger,Large,beast,unaligned,12,52,40 ft.,18,14,15,3,12,8,2,,0,"Perception +3, Stealth +6",Passive Perception 13,--,,,,,,,
Sahuagin,Medium,humanoid,lawful evil,12,22,"30 ft., swim 40 ft.",13,11,12,12,13,9,0.5,,0,Perception +5,"Darkvision 120 ft.,  Passive Perception 15",Sahuagin,,,,,,,
Salamander,Large,elemental,neutral evil,15,90,30 ft.,18,14,15,11,10,12,5,,0,,"Darkvision 60 ft.,  Passive Perception 10",Ignan,Cold,"Bludgeoning, Piercing, and Slashing from Nonmagical Attacks",Fire,,,,
Satyr,Medium,fey,chaotic neutral,14,31,40 ft.,12,16,11,12,10,14,0.5,,0,"Perception +2, Performance +6, Stealth +5",Passive Perception 12,"Common, Elvish, Sylvan",,,,,,,
Scorpion,Tiny,beast,unaligned,11,1,10 ft.,2,11,8,1,8,2,0,,0,,"Blindsight 10 ft.,  Passive Perception 9",--,,,,,,,
Scout,Medium,humanoid,any alignment,13,16,30 ft.,11,14,12,11,13,11,0.5,,0,"Nature +4, Perception +5, Stealth +6, Survival +5",Passive Perception 15,Any one language (usually Common),,,,,,,
Sea Hag,Medium,fey,chaotic evil,14,52,"30 ft., swim 40 ft.",16,13,16,12,12,13,2,,0,,"Darkvision 60 ft.,  Passive Perception 11","Aquan, Common, Giant",,,,,,,
Sea Horse,Tiny,beast,unaligned,11,1,"0 ft., swim 20 ft.",1,12,8,1,10,2,0,,0,,Passive Perception 10,--,,,,,,,
Shadow,Medium,undead,chaotic evil,12,16,40 ft.,6,14,13,6,10,8,0.5,,0,Stealth +4,"Darkvision 60 ft.,  Passive Perception 10",--,Radiant,"Acid, Cold, Fire, Lightning, Thunder; Bludgeoning, Piercing, and Slashing from Nonmagical Attacks","Necrotic, Poison","Exhaustion, Frightened, Grappled, Paralyzed, Petrified, Poisoned, Prone, Restrained",,,
